1,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2,1996,Puerto Rico,0.09,0.05,0.16,0.7,"Puerto Rico
"
3,1997,Puerto Rico,0.09,0.05,0.16,0.7,"Puerto Rico
"
4,1998,Puerto Rico,0.1,0.05,0.17,0.68,"Puerto Rico
"
5,1999,Puerto Rico,0.1,0.04,0.15,0.71,"Puerto Rico
"
6,2000,Puerto Rico,0.09,0.04,0.15,0.72,"Puerto Rico
"
7,2001,Puerto Rico,0.08,0.05,0.17,0.71,"Puerto Rico
"
8,2001,Virgin Islands,0.07,0.03,0.13,0.78,"Virgin Islands
"
9,2002,Puerto Rico,0.09,0.04,0.17,0.7,"Puerto Rico
"
10,2002,Virgin Islands,0.07,0.02,0.12,0.79,"Virgin Islands
"
11,2003,Puerto Rico,0.09,0.05,0.18,0.69,"Puerto Rico
"
12,2003,Virgin Islands,0.08,0.02,0.14,0.76,"Virgin Islands
"
13,2004,Puerto Rico,0.08,0.04,0.15,0.72,"Puerto Rico
"
14,2004,Virgin Islands,0.06,0.04,0.1,0.81,"Virgin Islands
"
15,2005,Puerto Rico,0.08,0.05,0.17,0.7,"Puerto Rico
"
16,2005,Virgin Islands,0.05,0.03,0.13,0.79,"Virgin Islands
"
17,2006,Puerto Rico,0.08,0.05,0.17,0.71,"Puerto Rico
"
18,2006,Virgin Islands,0.06,0.03,0.13,0.78,"Virgin Islands
"
19,2007,Puerto Rico,0.08,0.05,0.19,0.69,"Puerto Rico
"
20,2007,Virgin Islands,0.06,0.03,0.12,0.8,"Virgin Islands
"
21,2008,Puerto Rico,0.08,0.04,0.18,0.7,"Puerto Rico
"
22,2008,Virgin Islands,0.04,0.02,0.12,0.82,"Virgin Islands
"
23,2009,Puerto Rico,0.07,0.04,0.18,0.72,"Puerto Rico
"
24,2010,Puerto Rico,0.08,0.04,0.17,0.71,"Puerto Rico
"
25,1999,Louisiana,0.19,0.05,0.21,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
26,2010,Nevada,0.17,0.05,0.26,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
27,1996,Nebraska,0.2,0.03,0.24,0.54,"Nebraska
(41.6410400000961, -99.36572999973953)"
28,2003,Vermont,0.15,0.04,0.3,0.5,"Vermont
(43.625379999687425, -72.51764000028561)"
29,2001,Tennessee,0.2,0.05,0.19,0.57,"Tennessee
(35.68094000038087, -85.77449000011325)"
30,2008,Guam,0.21,0.06,0.19,0.53,
31,2007,Guam,0.23,0.08,0.14,0.55,
32,2003,Guam,0.26,0.08,0.14,0.52,
33,2002,Guam,0.25,0.07,0.16,0.53,
34,2001,Guam,0.27,0.05,0.12,0.57,
35,2003,Delaware,0.17,0.05,0.28,0.5,"Delaware
(39.00883000020451, -75.57774000040052)"
36,1998,Vermont,0.19,0.04,0.29,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
37,2006,Oklahoma,0.19,0.06,0.24,0.51,"Oklahoma
(35.4720099999617, -97.52034999975251)"
38,2004,Washington,0.14,0.05,0.25,0.56,"Washington
(47.522280000022135, -120.47001000026114)"
39,1998,New York,0.18,0.06,0.24,0.52,"New York
(42.82699999955048, -75.54396999981549)"
40,2005,South Dakota,0.14,0.06,0.25,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
41,1999,Illinois,0.2,0.05,0.24,0.52,"Illinois
(40.485010000411364, -88.99770999971656)"
42,1997,Indiana,0.22,0.05,0.24,0.5,"Indiana
(39.76690999989677, -86.14996000035359)"
43,2000,Illinois,0.16,0.06,0.23,0.55,"Illinois
(40.485010000411364, -88.99770999971656)"
44,2006,Connecticut,0.12,0.05,0.28,0.55,"Connecticut
(41.56265999995918, -72.6498400002157)"
45,2005,Montana,0.15,0.05,0.29,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
46,2002,Missouri,0.22,0.05,0.26,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
